message,label
"OK,

    I saw a bike today and I want to know what it is.  Lets begin
by saying that its whole rear end was definately Hawk 650.  Additionally,
it had a CBR900RR style tank, full fairing, and only a tach.  Now, at
first I thought it was an 'RC31' (a Hawk modified by Two Brothers Racing),
but I did not think that they made this huge tank for it.  Additionally,
the gauges were certainly not from a Hawk.  They looked much more like 
900RR gauges.  Overall, the bike looked like a 900RR except for the
rear single-sided swingarm and wheel (there were straight from the Hawk)

So, what did I see?

(PS, for any of you Boulder DoDers, I saw it parked at the Engineering
center today. It is white with light green stripes.)
",1
"
Rolls-Royce owned by a non-British firm?

Ye Gods, that would be the end of civilization as we know it.",1
"Our shop uses a package called CADCore - very good - to scan and
subsequently vectorize original maps into digital maps. The problem is that
once the raster file is loaded into the CADCore package, a header is added
to the .HRF file which makes it unreadable by the supplied converter. We
would like to be able to ship some of the already-altered raster images for
further use on our workstations. So, here are my questions:

 (1) What is the Hitachi format? - I need this format so I can recognize
precisely what to strip out. I strongly suspect that it's a compressed
format - if so, then t might not be possible for me to strip out the
offending header.

 (2) Are there any UNIX packages that read and recognize HRF? It would be
really nice to find some sort of ""hrftopbm"" converter out there. ;)",0
"
Tommy Frandsen's VGAlib (which is probably what you're talking about)
will do the standard VGA modes, some tweaked modes and then the Tseng
ET4000 Super VGA modes. I have an ET4000 and I'm viewing GIF's at
640x480/256 (I have a lousy/small monitor) with dpg-view on Linux. I
think I had to change some constants in the dpg-view sources to make it
use the ET4k modes.

VGAlib's sources seem to be designed for easy addition of new Super VGA
support; each mode is an array of register values and there's a program
that dumps an array declaration of this kind describing the current
mode. Haven't tried it though...

(Btw, my version of VGAlib is 1.2.)
",0
"--

Hey, c'mon guys (and gals), I chose my words very carefully and even 
tried to get my FAQ's straight.  Don't holler BOHICA at me!
 
----------------------------------------------------------------------",1
"

HEAR HEAR!!!


REALLY? i thought that the reason it was 42 was that it is REALLY 24, but
written as 42 so that on Intel chips you could get the proper value :)

-pete

help stomp out the endian wars... break some eggs on their sides!
",0
"	<...>	<...>

	I've never liked my passengers to try and shift their weight with the
	turns at all... I find the weight shift can be very sudden and
	unnerving. It's one thing if they're just getting comfortable or
	decide to look over your other shoulder, but I don't recommend having
	him/her shift her weight with each turn... too violent.
	
	Also (I think someone already said this) make sure your passenger
	wears good gear. I sometimes choose to ride without a helmet or
	lacking other safety gear (depends on how squidly I feel) but I
	won't let passengers do it. What I do to myself I can handle, but
	I wouldn't want to hurt anyone else, so I don't let them on without
	gloves, jacket, (at least) jeans, heavy boots, and a helmet that *fits*


	Go *real* easy. It's amazing how solid a grip you have on the
	handle bars that your passenger does not. Don't make her feel like
	she's going to slide off the back, and ""snappy"" turns for you are
	sickening lurches for her. In general, it feels much less controlled
	and smooth as a passenger. I can't stand being on the back of my
	brother's bike, and I ride aggressively when i ride and I know he's
	a good pilot... still, everything feels very unsteady when you're
	a passenger. 



	Show off by not showing off the first time out...
",1
"
1 hr/drink for the first 4 drinks.
1.5 hours/drink for the next 6 drinks.
2 hours/drink for the rest.",1
"
I agree with you. Of cause I'll try to be a daemon :-)",0
"

	And they're rather tasty.



	Per gallon (bushel) perhaps. Unfortunately they eat the same amount
every day no matter how much you ride them. And if you don't fuel them they
die. On an annual basis, I spend much less on bike stuff than Amy the Wonder
Wife does on horse stuff. She has two horses, I've got umm, lesseee, 11 bikes.
I ride constantly, she rides four or five times a week. Even if you count 
insurance and the cost of the garage I built, I'm getting off cheaper than 
she is. And having more fun (IMHO).



-- 
Go fast. Take chances.",1
"
Why would it have to be much faster (it probably is) ? Assuming an ARM
is about as efficient as a MIPS R3000 for integer calculations, doing
a Compact-Video-like digital video codec is an easy task. For Software
Motion Pictures (which is a lot like Compact Video, though it predates
it), we get 48 frames/sec. at 320x240 on a DECstation 5000/200. That
machine has a 25 Mhz MIPS R3000. 

		Burkhard Neidecker-Lutz",0
"Well, it looks like I'm F*cked for insurance.

I had a DWI in 91 and for the beemer, as a rec.
vehicle, it'll cost me almost $1200 bucks to insure/year.

Now what do I do?

(I could probably just sell the bike and return my DoD number,...
)
",1
"
Also photoshopII is out soon, has anyone got a date and any cofmments?
Andy

        _______________________________________________________
        | Andrew Leahy | aleahy@cch.coventry.ac.uk | Odd FROG |
        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",0
"Note the Followup-To: header ...


On my SVR4 Amiga Unix box, I've got -lform, -lmenu, and -lpanel for
use with the curses library.  Guess what they provide? :-)

Unix Press, ie. Prentice-Hall, has a programmer's guide for these
tools, referred to as the FMLI (Forms Mgmt Language Interface) and
ETI (Extended Terminal Interface), now in it's 2nd edition.  It is
ISBN 0-13-020637-7.

Paraphrased from the outside back cover:

    FMLI is a high-level programming tool for creating menus, forms,
    and text frames.  ETI is a set of screen management library
    subroutines that promote fast development of application programs
    for window, panel, menu, and form manipulation.

The FMLI is a shell package which reads ascii text files and produces
screen displays for data entry and presentation.  It consists of a
""shell-like"" environment of the ""fmli"" program and it's database
files.  It is section 1F in the Unix Press manual.

The ETI are subroutines, part of the 3X manual section, provide
support for a multi-window capability on an ordinary ascii terminal
with controls built on top of the curses library.

",0
"Some rendering programs require that all surface normals point in the same
direction.  (ie: On a closed cube, all normals point outwards).  You can use
the points on the faces to determine the direction of the normal, by making
sure that all points are either in clockwise or counter-clockwise order.

How do you go about orienting all normals in the same direction, given a 
set of points, edges and faces?   Say that you had a cube with all faces that 
have their normals facing outwards, except for one face.  What's the
best way to realize that face is ""flipped"", and should have it's points
re-ordered?   I thought I had a good way of telling this, but then realized
that the algorithm I had would only tell you if you had points in clockwise
order for a 2d polygon.  I'd like something for 3d data.

Any hints, tips, references would be appreciated.

Steve",0
"
: >I just got to thinking:  why don't manufacturers still make bikes with 
turbos?
: > etc ....

Because they add a lot of expense and complexity and make for a less reliable 
and less controllable bike. 

As an extreme example the CX500 Turbo cost as much as a Mike Hailwood Replica 
Ducati.
",1
"I require BGI drivers for Super VGA Displays and Super XVGA Displays. Does 
anyone know where I could obtain the relevant drivers ? (FTP sites ??)

	Regards
",0
"I can't find CTDS (Connect The Dots Smoother) in France. If it is a commercial
program I'll happily pay whatever it may cost (do not take it litterally).
Please help!
I have *LOTS* of PoV sources, texture images and animations though, if you
are looking for something, just tell.
",0
"
Yeah, hypothermia is MUCH more detrimemtal to your judgement and reactions
than people realise. I wish I had the patience to stop when I should. One
day I'll pay for it....",1
"
I shipped my K75S from Portland Oregon to Daytona for this years
bike week (I rode it back!).  The company I used is The Federal Co's.
You can reach them at 1-800-747-4100 ex 214.  You either have to be
a AMA member, or maybe it is just a discount for AMA, not sure.
(Call 1-800-AMA-JOIN to become an AMA member)

The shipping cost is based on the number of miles.  It cost me about $500
for Portland to Orlando.  $80 of that was insurance.  All I had to do is
ride it to the shipping dock and siphon the gas out.  I think they can
also pick up the bike from any business.  The bike arrived on-time at
Orlando.  All I had to do was adjust the mirrors and add gas.  The bike
was in perfect shape!",1
,0
"[...deleta...]

Heavy for a beginner bike it is; 415 pounds it isn't, except maybe in
some adman's dream.  With a full tank, it's in the area of 550 lbs,
depending on year etc.


The 1980 and '81 versions had a much better seat, IMO.


My regulator lasted over 100,000 miles, and didn't overcharge the battery.
The wiring connectors in the charging path did get toasty though,
tending to melt their insulation.  I suspect they were underspecified;
it didn't help that they were well removed from cool air.

Battery access on the earlier bikes doesn't require tank removal.
After you learn the drill, it's pretty straightforward.

[...]

Having bought replacement parts for several brands of motorcycles,
I'll offer a grain of salt to be taken with Dale's assessment.

[...]",1
"
  Hello, I know that this has been discussed before.  But at the time
I didn't need to teselate a sphere.  So if any kind soul has the code
or the alg, that was finally decided upon as the best (as I recall it
was a nice, iterative subdivision meathod), I would be very 
appreciative.
							Thomas DeWeese
deweeset@rdrc.rpi.edu
",0
"Hi all,

  I am looking for a recommandation on a good royalty free graphics
library package for C and C++ program.  This is mainly use to write
children games and education software.  I heard someone mentioned Genus
and also GFX ?  Are they any good?

Please pardon me if my question sounds a little strange, I am asking
this question for a friend.

Thanks in advance!",0
"

I'd be happy to US (international) Snail mail technical information on
imaging databases to anyone who needs it, if you can provide me with your
address for hard copy (not Email).  We're focusing mostly on Open PACE,
Oracle, Ingres, Adabas, Sybase, and Gupta, regarding our imaging
databases installed.  (We have over 1,000 installed and in production now;
most of the new ones going in are on Novell LANs, the RS/6000, and now HP
Unix workstations.)  We work with Visual Basic too.",0
"Using the VMODE command, all you need to do is type VMODE VESA at the dos
prompt. VMODE is included with the Speedstar 24.  I have used the VESA mode
for autodesk animator pro.
",0
"
:>re: majority of users not readding from floppy.
:>Well, how about those of us who have 1400-picture CD-ROMS and would like to use
:>CVIEW because it is fast and it works well, but can't because the moron lacked
:>the foresight to create the temp file in the program's path, not the current
:>didrectory?


:  Actually the most flexible way to create temp files is to check for a TEMP or
: TMP environment variable and create the files on the drive and directory pointedto by the variable.  This is pretty much a standard for DOS, Windows and OS/2
: applications.

Unfortunately, cview does not pay attention to the temp environment variable.",0
"
This algorithm works well for me:

Algorithm to attempt to find outward-facing normals:
---------------------------------------------------
First, mark all faces as UNKNOWN.

Then create an edge dictionary that allows you to find all of the
faces sharing a given edge (where an edge is two integers representing
the two shared vertices).

Pick an arbitrary face and mark it COUNTER_CLOCKWISE.  Using the edge
dictionary, orient all surrounding faces based on the orientation of
this face.  And recurse for all surrounding faces, consistently
orienting the entire surface.

Find the average of the vertices in this surface.  Using that point,
calculate a volume measurement, taking into account the face's
orientation.  If the volume turns out to be positive, assume the faces
are oriented correctly.  If it is negative, reverse their orientations
(mark them CLOCKWISE).

If any faces are still UNKNOWN after this, choose another face
and go through the algorithm again.

At the end, faces marked CLOCKWISE must have their indices reversed
before facet normals are found.

(Note: if you are running on Silicon Graphics machines and buy the
IRIS Inventor 3D toolkit developers package you have the source to
this algorithm-- see /usr/src/Inventor/tools/ivnorm/.  If you're
not... sorry, I can't give out the source, and even if I could it
relies heavily on Inventor).",0
"I am looking for some information about 3D animation stations that
are currently on the market.  The price of the station can be from 5K-20K, 
but no more than $20,000.00.  Type of workstation doesnt matter (PC, MAC, 
SGI etc..) .  If you use or have bought/looked at one or can suggest your
dream machine, then please mail me your configurations.  I need the following.

	1. Type of station (PC, MAC etc.. )
	2. Expandibilty of the machine.
	3. Software that can run on it
	4. VTR Controller and/or VTR deck model/name.
	5. Vendors names and numbers.

Thanks in advance.",0
"
Go bikeless.  You drink and drive, you pay. No smiley.
",1
"


	When I got my knee rebuilt I got back on the street bike ASAP. I put
the crutches on the rack and the passenger seat and they hung out back a
LONG way. Just make sure they're tied down tight in front and no problemo.
-- 
Go fast. Take chances.",1
"Excuse the sheer newbieness of this post, but I am looking for a decent
PaintProgram which will save to various file formats (.BMP  .PCX  etc etc)
via ftp, freeware, or shareware.  I would like to check out the available
programs for little $$ before I check out the commercial market.

Thanks in advance for any help or direction you can give me.",0
"
: 3DO is still a concept.
: The software is what sells and what will determine its
: success.


Apparantly you dont keep up on the news.  3DO was shown
at CES to developers and others at private showings.  Over
300 software licensees currently developing software for it.",0
"
So what's your local hospital's favorite curse?",1
"
See:
   Maureen Stone and Tony DeRose,
   ""A Geometric Characterization of Parametric Cubic Curves"",
   ACM TOG, vol 8, no 3, July 1989, pp. 147-163.
_______________________________________________________________________

...Ron Capelli                 IBM Corp.  Dept. C13,  MS. P230
   capelli@vnet.ibm.com        PO Box 950
   (914) 435-1673              Poughkeepsie, NY  12602
_______________________________________________________________________",0
"Hi !

If you want to have Soft-Scrolling on your VGA, you have to change some 
intern registers of the CRTC. But it is a little bit difficult to explain, 
so I would suggest, you take a look at ""The Programming of the 
EGA/VGA-Adapter"" by Addison-Wesley. You will find all useful descriptions 
for every available VGA-Register.

-Boris
",0
"You'll probably have to set the palette up before you try drawing
in the new colours.

Use the bios interrupt calls to set the r g & b values (in the range
from 0-63 for most cards) for a particular palette colour (in the
range from 0-255 for 256 colour modes).

Then you should be able to draw pixels in those palette values and
the result should be ok.

You might have to do a bit of colourmap compressing if you have
more than 256 unique rgb triplets, for a 256 colour mode.
",0
"Is it possible to do a ""wheelie"" on a motorcycle with shaft-drive?",1
"	What used to peeve me in Canada was the cars with bloody _red_ rear
indicators.  You'd see a single red light come on and think, ""Now, is he
stopping but one brake-lamp is not working, or does he have those dumb bloody
_red_ rear indicators?""  This being Survival 101, you have to assume he's
braking and take the appropriate actions, until such time as the light goes
out and on again, after which you can be reasonably certain it's a bloody _red_
rear indicator.",1
"
   Deltabox (tm) is a registered trademark of Yamaha, used to describe
their aluminum perimeter frame design, used on the FZR400 and FZR1000.
In cross-section, it has a five-sided appearance, so it probably really
should be called a ""Pentabox"".

-----------------------------------------------------------------------------",1
"Does anyone out there have or know of, any kind of utility program for

Ribbons?


Ribbons are a popular representation for 2D shape.  I am trying to
find symmetry axis in a given any 2D shape using ribbons.


Any suggestions will be greatly appreciated how to start program. 


Thanks very much in advance,
Hoi
",0
"I am looking for some graphic images of earth shot from space. 
( Preferably 24-bit color, but 256 color .gif's will do ).

Anyways, if anyone knows an FTP site where I can find these, I'd greatly
appreciate it if you could pass the information on.  Thanks.


( please send email ).


Ken Huisman",0
"Grf. Dropped my Shoei RF-200 off the seat of my bike while trying to rock 
it onto it's centerstand, chipped the heck out of the paint on it...
 
 So I cheerfully spent $.59 on a bottle of testor's model paint and 
repainted the scratches and chips for 20 minutes.
 
 Then, while it was drying, I realized that I was out of smokes and that my 
cage is not currently running... So I ""had to"" take my bike down to the 
store. Not wanting to mess up my paint job, I said ""Well, heck. I can just 
use my old helmet"".... this is your standard el cheapie openface... 
  
 I didn't notice a big difference when I switched TO the shoei, but 
switching back was really bad... 
 
 1) Doesn't fit worth a damn, too wide in the sides, too short front to 
back...
 2) With a faceplate, it's still bloody windy... with the shoei, I normally 
ignore the face shield until I get up to about 30ish... with this one, 
taxiing to the end of the driveway was too smegging much wind. 
 
  ",1
"At the moment i'm trying to grab a portion of a Starbase screen, and store it
in an area of memory. The data needs to be in a 24-bit format (which
shouldn't be a problem as the app is running on a 24 bit screen), though
i'm not too fussy about the exact format.

(I actually intend to write the data out as a TIFF but that bits not the
problem)

Does anyone out there know how to grab a portion of the screen? The
block_read call seems to grab the screen, but not in 24 bit colour,
whatever the screen/window type i get 1 byte per pixel. 

thanks in advance,

Martin




--
---------------------------------------------------------------------------",0
"David Karr, on the Tue, 20 Apr 1993 01:01:01 GMT wibbled:
: >In article <1993Apr19.141959.4057@bnr.ca>
: >
: >> With regards to the pub brawl, he might have a history of such things.
: >> Just because he was a biker doesn't make him out to be a reasonable
: >> person.  Even the DoD might object to him joining, who knows?

: If he had a history of such things, why was it not mentioned in the
: article, and why did they present the irrelevant detail of where he
: got his drinking money from?

: I can't say exactly who is at fault here, but from where I sit is
: looks like we're seeing the results either of the law going way out
: of hand or of shoddy journalism.

: If the law wants to attach strings to how you spend a settlement, they
: should put the money in trust.  They don't, so I would assume it's
: perfectly legitimate to drink it away, though I wouldn't spend it that
: way myself.

: -- David Karr (karr@cs.cornell.edu)

We heard about this from a newspaper article.  Journalists and editors
always pick out the most interesting and sensational ""facts"" for our
facts get in the way of a good story"".  You must have noticed how
motorcyclists get treated by the press.  They thrive on hysteria,
ignorance, sensationalism and one-upmanship.  Unfortunately there's
not enough salt to keep taking a pinch of.

--

Nick (the Cynical Old Biker)   DoD 1069   Concise Oxford   Leaky New Gearbox

M'Lud.",1
"Hello,
  I've been trying to bump map a gif onto a sphere for a while and I
can't seem to get it to work.  Image mapping works, but not bump
mapping.  Here's a simple file I was working with, could some kind
soul tell me whats wrong with this.....

#include ""colors.inc""
#include ""shapes.inc""
#include ""textures.inc""
 
camera {
  location  <0 1 -3>
  direction <0 0 1.5>
  up        <0 1 0>
  right     <1.33 0 0>
  look_at   <0 1 2>
}
 
object { light_source { <2 4 -3> color White }
       }
 
object {
  sphere { <0 1 2> 1 }
   texture {
     bump_map { 1 <0 1 2> gif ""surf.gif""}
   }
}

NOTE: surf.gif is a plasma fractal from Fractint that is using the
landscape palette map.

  
	Thanks in advance
	   -Daniel-",0
"Does anyone out there have or know of,  line drawing USA map?


Thanks very much in advance,
Hoi
",0
"


Greg's obviously confused. There aren't many (any) gentlemen on this 
newsgroup. Well, maybe. One or two.
",1
"Please Ineed information about desk top publishe- post graduate courses
and if possible email address or normal mail.
thanks in advance
",0
"Stolen from Pasadena between 4:30 and 6:30 pm on 4/15.

Blue and white Honda CBR900RR california plate KG CBR.   Serial number
JH2SC281XPM100187, engine number 2101240.

No turn signals or mirrors, lights taped over for track riders session
at Willow Springs tomorrow.  Guess I'll miss it.  :-(((

Help me find my baby!!!",1
"
From _Cycle_World_ magazine (5/93) (who usually never says _anything_
bad about any motorcycle):

""The Max certainly has motor, but there are some things it is short of.
It is short of chassis.  It loves straight lines; aimed in one, it is
nicely stable.  But it is not overfond of corners.  Forced into one, it
protests, shaking its head, chattering its front tire, grinding its
footpegs, and generally making known its preference for straight
pavement.  Bumps?  It doesn't like them either.  Its fork isn't too bad,
though it is soft enough that it can be bottomed under hard braking.
The shocks, though which work on that short-travel, shaft-drive
swingarm, are firm to the point of harshness.""

-----------------------------------------------------------------------------",1
"

Let's see how the weather is Saturday or Sunday. It sucks
today. What time is good?
You're welcome to give any of the ones I have a try.  As
for the gargoyles, if you want mine you can have 'em.  I
think the bridge of my nose holds them too far from my face.
Same deal for the two of my friends who tried them. For
people who use them with a full face helmet, all bets are
off. Sorry if they fit you well and took my complaint
personally. Yes the Oakleys are much more desirable squid
attire. Also the gargoyles aren't that ugly, even in my
opinion, or I wouldn't have tried them.

--
Michael Manning
mmanning@icomsim.com (NeXTMail accepted.)",1
"Hi,

  I'm looking for an algorithm that would generate a good cross-section of
RGB colours given a limited colour map size. 

The problem: I'm writing an application for the PC that may have at most 256
colors. I want to use one colormap (palette) for the application but I'd like
it to contain an even spread of colours of the visible spectrum. I could use 
a 6x6x6 RGB cube but the problem is that a lot of those colours are almost
identical to the human eye. ",0
"I don't want to do this, but I need money for school.  This is
a very snappy bike.  It needs a little work and I don't have the
money for it.  Some details:

	~19000 miles
	Mitsubishi turbo
	not asthetically beautiful, but very fast!
	One of the few factory turboed bikes... not a kit!
	Must see and ride to appreciate how fun this bike is!

I am asking $700 or best offer.  The bike can be seen in
Bennington, Vermont.  E-mail for more info!",1
"Contact Signaware Corp
800-4583820
800 6376564

-------------------------------- Original Memo --------------------------------
BCC:     Vincent Wall                   From:      Imaging Club
Subject: Signature verification  ?      Date Sent: 05/04/93

sci.image.processing
From: yyqi@ece.arizona.edu (Yingyong Qi)
Subject: Signature Image Database
Organization: U of Arizona Electrical and Computer Engineering

Hi, All:

Could someone tell me if there is a database of handwriting signature
images available for evaluating signature verification systems.

Thanks.",0
"

RIX's files with the extension  .sci and .scf are just a RAW file with
a 256 color palette.
The first 10 bytes is a kind of header, with the name RIX among 7bytes unknown stuff. The you have 768 bytes of palette info (3*256 for the colors RGB)
and then you have the picture in raw format.
If you dont know how to make a viewer of of this description you can get VPIC
it is able to read the files!",0
"Evelyn Wells, on the 12 Apr 1993 11:43 CST wibbled:
: Once again, this morning I pulled up to the designated motorcycle
: parking area, only to find a cage pulled up behind the bikes. 
: If people don't double-park cars, why do they do it to motorcycles?
: Never mind that rhetorical question, I know *why* they do it.

: What I want to know is, what can I do about it?  Carry pieces of
: paper that say ""Don't park your car in the motorcycle area!!"" ?
: Call the cops?  Wait until they emerge from the building and berate
: them until they beg forgiveness?  

: Does anyone else have this problem, and what do you do about it?

: Evie

I don't know if you have a local branch where you are, but the preferred method
over here is to 'phone the IRA and tell them about the car and that it 
belongs to an MP who is on a Northern Ireland Government Committee.  An hour
or so later, and the car is no longer a problem.  It's best not to park too 
close to it, though.
--

Nick (the Vengeful Biker)   DoD 1069   Concise Oxford   Plastic

M'Lud.",1
"
I am in the market for a 24-bit graphics card for a PC (ISA bus), and
was wondering if anyone had any comments (good? bad? otherwise?) regarding
the Diamond Stealth 24?  
",0
"


  Actually the most flexible way to create temp files is to check for a TEMP or
TMP environment variable and create the files on the drive and directory pointedto by the variable.  This is pretty much a standard for DOS, Windows and OS/2
applications.


-- 
What I have to say is my own opinion and has no bearing on any other person or
organization including my employer.",0
"
But the Question was later revealed to be:  What is 9 x 6?  (In the
base 13 system, of course.)

",0
"Hello,",0
"

Hi, I've come across a fast triangle fill-draw routine for mode 13h.  By
calling this routine enough times, you have a fast polygon drawing routine.

I think I ftp'ed from wuarchive.wustl.edu:/pub/MSDOS_UPLOADS/programming.
I have a copy of it so I reupload it there.  The triangle.txt file has this
to say :

",0
"I am looking for an algorithm to determine if a given point is bound by a 
polygon. Does anyone have any such code or a reference to book containing
information on the subject ?

		Regards",0
